age,death_probm,numdm,lexpm,death_probf,numdf,lexpf
46,0.005064,"91,564",31.45,0.002994,"95,489",35.62
47,0.005399,"91,100",30.61,0.003219,"95,203",34.73
48,0.005796,"90,608",29.77,0.003467,"94,897",33.84
49,0.006214,"90,083",28.94,0.003729,"94,568",32.95
50,0.006671,"89,523",28.12,0.004011,"94,215",32.07
51,0.007167,"88,926",27.3,0.004306,"93,837",31.2
52,0.007736,"88,289",26.5,0.004634,"93,433",30.33
53,0.008351,"87,606",25.7,0.004981,"93,000",29.47
54,0.009035,"86,874",24.91,0.00537,"92,537",28.62
55,0.00977,"86,089",24.14,0.005831,"92,040",27.77
56,0.010567,"85,248",23.37,0.006326,"91,503",26.93
57,0.011398,"84,347",22.61,0.006837,"90,924",26.1
58,0.012291,"83,386",21.87,0.007399,"90,303",25.27
59,0.013224,"82,361",21.13,0.008033,"89,635",24.46
60,0.014267,"81,272",20.41,0.008687,"88,915",23.65
61,0.015353,"80,112",19.7,0.009411,"88,142",22.86
62,0.016484,"78,882",19,0.010139,"87,313",22.07
63,0.017617,"77,582",18.31,0.010849,"86,427",21.29
64,0.018759,"76,215",17.63,0.01155,"85,490",20.52
65,0.019914,"74,786",16.95,0.012216,"84,502",19.75
66,0.021104,"73,296",16.29,0.012952,"83,470",18.99
67,0.022423,"71,749",15.63,0.013844,"82,389",18.23
68,0.023847,"70,141",14.98,0.014863,"81,248",17.48
69,0.025357,"68,468",14.33,0.016028,"80,041",16.74
70,0.02705,"66,732",13.69,0.017329,"78,758",16
71,0.02897,"64,927",13.06,0.018859,"77,393",15.27
72,0.031188,"63,046",12.43,0.020609,"75,934",14.56
73,0.033754,"61,080",11.82,0.02262,"74,369",13.85
74,0.036747,"59,018",11.21,0.024958,"72,686",13.16
75,0.040563,"56,849",10.62,0.027906,"70,872",12.49
76,0.044308,"54,543",10.05,0.030925,"68,895",11.83
77,0.048498,"52,126",9.49,0.03414,"66,764",11.19
78,0.053229,"49,598",8.95,0.03762,"64,485",10.57
79,0.058778,"46,958",8.42,0.041725,"62,059",9.96
80,0.064617,"44,198",7.92,0.046324,"59,469",9.38
81,0.070947,"41,342",7.43,0.051334,"56,714",8.81
82,0.077834,"38,409",6.96,0.056911,"53,803",8.26
83,0.085686,"35,420",6.5,0.063279,"50,741",7.73
84,0.094809,"32,385",6.07,0.070704,"47,530",7.21
85,0.10509,"29,314",5.65,0.079184,"44,170",6.72
86,0.116592,"26,234",5.26,0.088697,"40,672",6.26
87,0.129306,"23,175",4.88,0.09924,"37,065",5.82
88,0.142732,"20,178",4.53,0.11048,"33,386",5.41
89,0.157638,"17,298",4.21,0.123078,"29,698",5.02
90,0.174458,"14,571",3.9,0.137152,"26,043",4.65
91,0.193027,"12,029",3.62,0.152605,"22,471",4.31
92,0.21293,"9,707",3.36,0.169494,"19,042",3.99
93,0.232657,"7,640",3.14,0.187623,"15,814",3.71
94,0.251826,"5,863",2.94,0.206647,"12,847",3.45
95,0.270943,"4,386",2.76,0.22589,"10,192",3.22
96,0.289756,"3,198",2.6,0.245054,"7,890",3.01
97,0.307998,"2,271",2.45,0.263815,"5,956",2.82
98,0.325393,"1,572",2.32,0.281828,"4,385",2.66
99,0.341662,"1,060",2.2,0.298738,"3,149",2.5
100,0.358746,698,2.09,0.316662,"2,208",2.35
101,0.376683,448,1.98,0.335662,"1,509",2.21
102,0.395517,279,1.87,0.355802,"1,003",2.08
103,0.415293,169,1.77,0.37715,646,1.95
104,0.436058,99,1.67,0.399779,402,1.82
105,0.45786,56,1.58,0.423766,241,1.71
106,0.480753,30,1.49,0.449192,139,1.59
107,0.504791,16,1.4,0.476143,77,1.49
108,0.530031,8,1.32,0.504712,40,1.39
109,0.556532,4,1.24,0.534994,20,1.29
110,0.584359,2,1.16,0.567094,9,1.2
111,0.613577,1,1.09,0.60112,4,1.11
112,0.644256,0,1.01,0.637187,2,1.03
113,0.676468,0,0.95,0.675418,1,0.95
114,0.710292,0,0.88,0.710292,0,0.88
115,0.745806,0,0.82,0.745806,0,0.82
116,0.783097,0,0.76,0.783097,0,0.76
117,0.822251,0,0.7,0.822251,0,0.7
118,0.863364,0,0.65,0.863364,0,0.65
119,0.906532,0,0.6,0.906532,0,0.6
